"Gen1" "Gen15" "Gen2" "Gen47_3_5" "Gen47_6_10"
"hamul" 0 0 0 0 0
"hand" 0 0 0 0 0
"hanoch" 0 0 0 0 0
"heber" 0 0 0 0 0
"herds" 0 0 0 0 0
"here" 0 0 0 0 0
"himself" 0 0 0 0 0
"huppim" 0 0 0 0 0
"hushim" 0 0 0 0 0
"imnah" 0 0 0 0 0
"iob" 0 0 0 0 0
"isaac" 0 0 0 0 0
"ishvah" 0 0 0 0 0
"ishvi" 0 0 0 0 0
"issachar" 0 0 0 0 0
"it" 2.02788339670469 1.07066381156317 1.76 0 0
"jachin" 0 0 0 0 0
"jahleel" 0 0 0 0 0
"jahzeel" 0 0 0 0 0
"jamin" 0 0 0 0 0
"jemuel" 0 0 0 0 0
"jezer" 0 0 0 0 0
"journey" 0 0 0 0 0
"kohath" 0 0 0 0 0
"let" 1.90114068441065 0 0 1.17647058823529 0.694444444444444
"levi" 0 0 0 0 0
"little" 0 0 0 0 0
"loins" 0 0 0 0 0
"made" 0.633713561470216 0.214132762312634 0.96 0 0
"make" 0.126742712294043 0 0.16 0 1.38888888888889
"malchiel" 0 0 0 0 0
"manasseh" 0 0 0 0 0
"may" 0 0 0 0 0
"meet" 0 0 0.32 0 0
"men" 0 0 0 0 0.694444444444444
"merari" 0 0 0 0 0
"muppim" 0 0 0 0 0
"naaman" 0 0 0 0 0
"names" 0 0 0.16 0 0
"naphtali" 0 0 0 0 0
"nation" 0 0.214132762312634 0 0 0
"night" 0.506970849176172 0 0 0 0
"not" 0 1.07066381156317 0.96 0 0.694444444444444
"occupation" 0 0 0 1.17647058823529 0
"offered" 0 0 0 0 0
"ohad" 0 0 0 0 0
"ones" 0 0 0 0 0
"out" 0 0.642398286937901 0.64 0 0.694444444444444
"paddan-aram" 0 0 0 0 0
"pallu" 0 0 0 0 0
"pass" 0 0.214132762312634 0 0 0
"poti-phera" 0 0 0 0 0
"presented" 0 0 0 0 0
"priest" 0 0 0 0 0
"put" 0.126742712294043 0 0.32 0 0
"puvah" 0 0 0 0 0
"ready" 0 0 0 0 0
"rose" 0 0 0 0 0
"rosh" 0 0 0 0 0
"sacrifices" 0 0 0 0 0
"seen" 0 0 0 0 0
"serah" 0 0 0 0 0
"sered" 0 0 0 0 0
"servants" 0 0 0 3.52941176470588 0
"seven" 0 0 0 0 0
"shaul" 0 0 0 0 0
"shelah" 0 0 0 0 0
"shepherd" 0 0 0 0 0
"shepherds" 0 0 0 1.17647058823529 0
"shillem" 0 0 0 0 0
"shimron" 0 0 0 0 0
"show" 0 0 0 0 0
"shuni" 0 0 0 0 0
"simeon" 0 0 0 0 0
"since" 0 0 0 0 0
"sister" 0 0 0 0 0
"six" 0 0 0 0 0
"sixteen" 0 0 0 0 0
"son" 0 0 0 0 0
"spake" 0 0 0 1.17647058823529 0
"surely" 0 0 0.16 0 0
"tell" 0 0 0 0 0
"ten" 0 0 0 0 0
"there" 2.15462610899873 0 0.96 1.17647058823529 0
"thine" 0 0.642398286937901 0 0 0
"thirty" 0 0 0 0 0.694444444444444
"thou" 0 1.07066381156317 0.64 0 0.694444444444444
"three" 0 0.642398286937901 0 0 0
"tola" 0 0 0 0 0
"two" 0.126742712294043 0 0 0 0
"until" 0 0 0 0 0
"upon" 1.26742712294043 0.642398286937901 0.32 0 0
"visions" 0 0 0 0 0
"wagons" 0 0 0 0 0
"way" 0 0 0 0 0
"we" 0 0 0 3.52941176470588 0
"went" 0 0.214132762312634 0.32 0 0.694444444444444
"wept" 0 0 0 0 0
"what" 0 0.214132762312634 0.16 1.17647058823529 0
"when" 0 0.428265524625268 0.16 0 0
"while" 0 0 0 0 0
"wife" 0 0 0.32 0 0
"woman" 0 0 0.32 0 0
"yet" 0 0.214132762312634 0.32 0 0
"you" 0.253485424588086 0 0 0 0
"your" 0 0 0 1.17647058823529 0
"youth" 0 0 0 0 0
"zebulun" 0 0 0 0 0
"zerah" 0 0 0 0 0
"zilpah" 0 0 0 0 0
"ziphion" 0 0 0 0 0
"zohar" 0 0 0 0 0
