"deuteronomy" "exodus" "genesis" "leviticus" "numbers"
"the" 7.13245997088792 6.65880966411314 6.76644412826967 10.7122177185871 11.1347141086918
"and" 5.73144104803493 8.95698291101945 5.52150596475867 5.81933989577302 7.91290493892724
"of" 4.13027656477438 4.1838538597525 3.47214621867134 5.29820497973364 8.56788812179147
"to" 1.51018922852984 1.85621685327048 2.94954580277991 0.665894614939201 1.78792706673748
"he" 0.655021834061135 1.79728933411903 1.73196891758783 3.24261725535611 0.283235970968313
"in" 1.89228529839884 1.2080141426046 1.49939805187698 0.752750434279097 0.973623650203576
"that" 2.07423580786026 1.41426045963465 1.26409105833425 1.01331789229878 2.01805629314923
"you" 1.2372634643377 0.412492634060106 1.77848309073 0.0289519397799653 0.0354044963710391
"his" 0.782387190684134 1.06069534472599 1.52402320236401 1.53445280833816 0.743494423791822
"shall" 0.800582241630277 0.913376546847378 0.549961694210353 4.45859872611465 2.3543990086741
"i" 1.14628820960699 1.35533294048321 1.2093685016964 0.0289519397799653 0.141617985484156
"a" 0.764192139737991 1.00176782557454 0.960380868994199 2.02663578459757 0.708089927420782
"said" 0.327510917030568 1.67943429581615 1.22852139651965 0 0.0177022481855196
"him" 0.454876273653566 0.883912787271656 1.09445113275692 0.492182976259409 0.230129226411754
"for" 1.1098981077147 0.589275191514437 0.905658312356353 1.30283729009844 0.40715170826695
"with" 0.636826783114993 0.854449027695934 0.883769289701215 0.868558193398958 0.283235970968313
"is" 0.745997088791849 0.589275191514437 0.777060304257415 1.62130862767805 0.371747211895911
"it" 0.673216885007278 1.03123158515027 0.645726168326584 2.54777070063694 0.460258452823509
"your" 1.07350800582242 0.353565114908662 0.952172485498523 0.0868558193398958 0
"all" 1.03711790393013 0.47142015321155 0.634781656999015 0.579038795599305 1.29226411754293
"them" 1.12809315866084 0.883912787271656 0.6046842508482 0.376375217139548 0.991325898389095
"they" 0.418486171761281 1.11962286387743 0.684031957973076 0.173711638679792 1.09753938750221
"my" 0.0909752547307132 0.353565114908662 0.933019590675276 0 0
"be" 0.254730713245997 0.47142015321155 0.55817007770603 1.59235668789809 1.15064613205877
"was" 0.218340611353712 0.441956393635828 0.848199627886615 0.115807759119861 0.0885112409275978
"god" 1.31004366812227 1.17855038302887 0.626573273503338 0.0868558193398958 0
"me" 0.691411935953421 0.412492634060106 0.790740943416876 0 0.0354044963710391
"not" 0.836972343522562 0.736593989393047 0.588267483856846 0.376375217139548 0.212426978226235
"from" 0.509461426491994 0.206246317030053 0.59373973952063 0.376375217139548 0.672685431049743
"their" 0.200145560407569 0.589275191514437 0.394002407792492 0.0289519397799653 2.05346078952027
"were" 0.236535662299854 0.235710076605775 0.41589143044763 0 2.00035404496371
"will" 0.363901018922853 0.707130229817325 0.6402539126628 0 0
"unto" 2.12882096069869 2.00353565114909 0 1.12912565141864 0.867410161090459
"s" 0.127365356622999 0.265173836181497 0.6402539126628 0.318471337579618 0.141617985484156
"so" 0.218340611353712 0.0883912787271656 0.645726168326584 0.0868558193398958 0.159320233669676
"as" 0.727802037845706 0.32410135533294 0.489766881908723 0.55008685581934 0.212426978226235
"land" 0.873362445414847 0.412492634060106 0.533544927219 0 0.0354044963710391
"have" 0.509461426491994 0.412492634060106 0.547225566378461 0.0579038795599305 0.177022481855196
"then" 0.145560407569141 0.206246317030053 0.588267483856846 0.376375217139548 0.123915737298637
"on" 0.163755458515284 0.147318797878609 0.563642333369815 0.492182976259409 0.212426978226235
"when" 0.218340611353712 0.559811431938715 0.530808799387107 0.231615518239722 0.194724730040715
"had" 0.0545851528384279 0.235710076605775 0.615628762175769 0.0289519397799653 0.0177022481855196
"are" 0.27292576419214 0.412492634060106 0.4979752654044 0.0868558193398958 0.371747211895911
"father" 0.0181950509461426 0.147318797878609 0.623837145671446 0 0.0177022481855196
"jehovah" 1.91048034934498 0.913376546847378 0 1.59235668789809 0.761196671977341
"lord" 0.0181950509461426 0.0883912787271656 0.582795228193061 0 0
"by" 0.436681222707424 0.265173836181497 0.221626354383277 0.723798494499131 1.36307311028501
"son" 0.0909752547307132 0.265173836181497 0.4268359417752 0 0.548769693751106
"but" 0.436681222707424 0.32410135533294 0.404946919120061 0.202663578459757 0.177022481855196
"this" 0.691411935953421 0.412492634060106 0.366641129473569 0.0579038795599305 0.159320233669676
"jacob" 0.0181950509461426 0.206246317030053 0.514392032395753 0 0
"her" 0 0.265173836181497 0.443252708766554 0 0.336342715524872
"out" 0.527656477438137 0.559811431938715 0.314654700667615 0.347423277359583 0.123915737298637
"there" 0.254730713245997 0.235710076605775 0.421363686111415 0.0289519397799653 0.0708089927420782
"she" 0 0.441956393635828 0.429572069607092 0 0.106213489113117
"children" 0.527656477438137 0.589275191514437 0.177848309073 0.0579038795599305 0.991325898389095
