Source,Target,Weight,Type
deuteronomy,exodus,6,undirected
deuteronomy,genesis,4,undirected
deuteronomy,leviticus,3,undirected
deuteronomy,numbers,1,undirected
exodus,deuteronomy,6,undirected
exodus,genesis,5,undirected
exodus,leviticus,1,undirected
exodus,numbers,3,undirected
genesis,deuteronomy,4,undirected
genesis,exodus,5,undirected
genesis,numbers,1,undirected
leviticus,deuteronomy,3,undirected
leviticus,exodus,1,undirected
leviticus,numbers,6,undirected
numbers,deuteronomy,1,undirected
numbers,exodus,3,undirected
numbers,genesis,1,undirected
numbers,leviticus,6,undirected
