"E" "J" "P"
"jahleel" 0 0 0.22883295194508
"jahzeel" 0 0 0.22883295194508
"jamin" 0 0 0.22883295194508
"jemuel" 0 0 0.22883295194508
"jezer" 0 0 0.22883295194508
"journey" 0 0.436681222707424 0
"kohath" 0 0 0.22883295194508
"let" 0 0.436681222707424 0
"levi" 0 0 0.22883295194508
"little" 0.934579439252336 0 0
"loins" 0 0 0.22883295194508
"made" 0 0.436681222707424 0
"make" 0.934579439252336 0 0
"malchiel" 0 0 0.22883295194508
"manasseh" 0 0 0.22883295194508
"may" 0 0.436681222707424 0
"meet" 0 0.436681222707424 0
"men" 0 0.436681222707424 0
"merari" 0 0 0.22883295194508
"muppim" 0 0 0.22883295194508
"naaman" 0 0 0.22883295194508
"names" 0 0 0.22883295194508
"naphtali" 0 0 0.22883295194508
"nation" 0.934579439252336 0 0
"night" 0.934579439252336 0 0
"not" 0.934579439252336 0 0
"occupation" 0 0.436681222707424 0
"offered" 0 0.436681222707424 0
"ohad" 0 0 0.22883295194508
"ones" 0.934579439252336 0 0
"out" 0 0 0.22883295194508
"paddan-aram" 0 0 0.22883295194508
"pallu" 0 0 0.22883295194508
"pass" 0 0.436681222707424 0
"poti-phera" 0 0 0.22883295194508
"presented" 0 0.436681222707424 0
"priest" 0 0 0.22883295194508
"put" 0.934579439252336 0 0
"puvah" 0 0 0.22883295194508
"ready" 0 0.436681222707424 0
"rose" 0.934579439252336 0 0
"rosh" 0 0 0.22883295194508
"sacrifices" 0 0.436681222707424 0
"seen" 0 0.436681222707424 0
"serah" 0 0 0.22883295194508
"sered" 0 0 0.22883295194508
"servants" 0 0.436681222707424 0
"seven" 0 0 0.22883295194508
"shaul" 0 0 0.22883295194508
"shelah" 0 0 0.22883295194508
"shepherd" 0 0.436681222707424 0
"shepherds" 0 0.436681222707424 0
"shillem" 0 0 0.22883295194508
"shimron" 0 0 0.22883295194508
"show" 0 0.436681222707424 0
"shuni" 0 0 0.22883295194508
"simeon" 0 0 0.22883295194508
"since" 0 0.436681222707424 0
"sister" 0 0 0.22883295194508
"six" 0 0 0.22883295194508
"sixteen" 0 0 0.22883295194508
"son" 0 0 0.22883295194508
"spake" 0.934579439252336 0 0
"surely" 0.934579439252336 0 0
"tell" 0 0.436681222707424 0
"ten" 0 0 0.22883295194508
"there" 0.934579439252336 0 0
"thine" 0.934579439252336 0 0
"thirty" 0 0 0.22883295194508
"thou" 0 0.436681222707424 0
"three" 0 0 0.22883295194508
"tola" 0 0 0.22883295194508
"two" 0 0 0.22883295194508
"until" 0 0.436681222707424 0
"upon" 0.934579439252336 0 0
"visions" 0.934579439252336 0 0
"wagons" 0.934579439252336 0 0
"way" 0 0.436681222707424 0
"we" 0 0.436681222707424 0
"went" 0 0.436681222707424 0
"wept" 0 0.436681222707424 0
"what" 0 0.436681222707424 0
"when" 0 0.436681222707424 0
"while" 0 0.436681222707424 0
"wife" 0 0 0.22883295194508
"woman" 0 0 0.22883295194508
"yet" 0 0.436681222707424 0
"you" 0 0.436681222707424 0
"your" 0 0.436681222707424 0
"youth" 0 0.436681222707424 0
"zebulun" 0 0 0.22883295194508
"zerah" 0 0 0.22883295194508
"zilpah" 0 0 0.22883295194508
"ziphion" 0 0 0.22883295194508
"zohar" 0 0 0.22883295194508
